"match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"2000-08-11","Dortmund","HansaRostock","Jens Lehmann","Evanilson","Jürgen Kohler","Jörg Heinrich","Christoph Metzelder","Miroslav Stevic","Sunday Oliseh","Sead Kapetanovic","Heiko Herrlich","Giuseppe Reina","Victor Ikpeba","Martin Pieckenhagen","Andreas Jakobsson","René Schneider","Marco Zallmann","Mohamed Emara","René Rydlewicz","Marcus Lantz","Christian Brand","Peter Wibrån","Victor Agali","Steffen Baumgart"
"2000-08-12","Leverkusen","Wolfsburg","Pascal Zuberbühler","Robert Kovac","Jens Nowotny","Boris Živkovic","Jörg Reeb","Michael Ballack","Vratislav Greško","Carsten Ramelow","Ulf Kirsten","Paulo Rink","Oliver Neuville","Claus Reitmaier","Brian ONeil","Waldemar Kryger","Thomas Hengen","Marcel Maltritz","Martin Wagner","Krzysztof Nowak","Dorinel Munteanu","Dietmar Kühbauer","Zoltán Sebescen","Andrzej Juskowiak"
"2000-08-12","WerderBremen","Cottbus","Frank Rost","Frank Baumann","Frank Verlaat","Viktor Skripnik","Razundara Tjikuzu","Raphaël Wicky","Dieter Eilts","Marco Bode","Andreas Herzog","Paul Stalteri","Claudio Pizarro","Tomislav Piplica","Christian Beeck","Tzanko Tzvetanov","János Mátyus","Kevin McKenna","Laurentiu Reghecampf","Moussa Latoundji","Vasile Miriuta","Ronny Thielemann","Antun Labak","Franklin Bittencourt"
"2000-08-12","BayernMunich","Hertha","Oliver Kahn","Willy Sagnol","Patrik Andersson","Ciriaco Sforza","Thomas Linke","Michael Wiesinger","Mehmet Scholl","Thorsten Fink","Michael Tarnat","Carsten Jancker","Roque Santa Cruz","Gábor Király","Dick van Burik","Eyjólfur Sverrisson","Marko Rehmer","Dariusz Wosz","Andreas Schmidt","Michael Hartmann","Stefan Beinlich","René Tretschok","Sebastian Deisler","Michael Preetz"
"2000-08-13","Schalke04","FCKoln","Oliver Reck","Nico Van Kerckhoven","Tomasz Hajto","Tomasz Waldoch","Radoslav Látal","Andreas Möller","Jörg Böhme","Niels Oude Kamphuis","Jirí Nemec","Ebbe Sand","Émile Mpenza","Markus Pröll","Carsten Cullmann","Alexander Voigt","Jens Keller","Ralf Hauptmann","Christian Springer","Dirk Lottner","Archil Arveladze","Markus Kurth","Christian Timm","Miroslav Baránek"
"2000-08-12","Kaiserslautern","Bochum","Georg Koch","Murat Yakin","Michael Schjønberg","Hany Ramzy","Harry Koch","Marian Hristov","Youri Djorkaeff","Jeff Strasser","Mario Basler","Vratislav Lokvenc","Marco Reich","Rein van Duijnhoven","Martin Meichelbeck","Mirko Dickhaut","Michael Bemben","Peter Peschel","Sebastian Schindzielorz","Yildiray Bastürk","Thomas Stickroth","Zoran Mamic","Achim Weber","Delron Buckley"
"2000-08-12","Freiburg","Stuttgart","Richard Golz","Daniel Schumann","Boubacar Diarra","Andreas Zeyer","Sebastian Kehl","Zoubaïer Baya","Björn Dreyer","Levan Kobiashvili","Marco Weißhaupt","Aleksandr Iashvili","Abder Ramdane","Timo Hildebrand","Bordon","Thomas Schneider","Pablo Thiam","Krassimir Balakov","Bradley Carnell","Zvonimir Soldo","Krisztián Lisztes","Roberto Pinto","Ahmed Hosny","Sean Dundee"
"2000-08-12","Hamburg","Munich 1860","Hans Jörg Butt","Andrej Panadic","Ingo Hertzsch","Nico Jan Hoogma","Martin Groth","Niko Kovac","Bernd Hollerbach","Marcel Ketelaer","Sergej Barbarez","Tony Yeboah","Roy Präger","Michael Hofmann","Martin Stranzl","Stephan Paßlack","Ned Zelic","Marco Kurz","Thomas Häßler","Harald Cerny","Erik Mykland","Daniel Bierofka","Martin Max","Paul Agostino"
"2000-08-13","EinFrankfurt","Unterhaching","Dirk Heinen","Torsten Kracht","Jens Rasiejewski","Petar Hubchev","Markus Lösch","Thomas Sobotzik","Horst Heldt","Gerd Wimmer","Rolf-Christel Guié-Mien","Thomas Reichenberger","Saša Ciric","Jürgen Wittmann","Alexander Strehmel","Dennis Grassow","Oliver Straube","Matthias Zimmermann","Markus Oberleitner","Danny Schwarz","Marco Haber","Francisco Copado","Dietmar Hirsch","Altin Rraklli"
"2000-08-18","Cottbus","Dortmund","Tomislav Piplica","Christian Beeck","Rudi Vata","János Mátyus","Bruno Akrapovic","Toni Micevski","Steffen Heidrich","Moussa Latoundji","Vasile Miriuta","Ronny Thielemann","Antun Labak","Jens Lehmann","Evanilson","Jürgen Kohler","Jörg Heinrich","Dédé","Christoph Metzelder","Miroslav Stevic","Sunday Oliseh","Otto Addo","Heiko Herrlich","Victor Ikpeba"
"2000-08-19","Unterhaching","Freiburg","Jürgen Wittmann","Alexander Strehmel","Jan Seifert","Dennis Grassow","Björn Hertl","Oliver Straube","Matthias Zimmermann","Markus Oberleitner","Danny Schwarz","Altin Rraklli","André Breitenreiter","Richard Golz","Daniel Schumann","Boubacar Diarra","Andreas Zeyer","Sebastian Kehl","Zoubaïer Baya","Björn Dreyer","Levan Kobiashvili","Marco Weißhaupt","Aleksandr Iashvili","Abder Ramdane"
"2000-08-19","Bochum","BayernMunich","Rein van Duijnhoven","Martin Meichelbeck","Mirko Dickhaut","Michael Bemben","Peter Peschel","Sebastian Schindzielorz","Yildiray Bastürk","Thomas Stickroth","Zoran Mamic","Achim Weber","Delron Buckley","Oliver Kahn","Willy Sagnol","Patrik Andersson","Ciriaco Sforza","Thomas Linke","Mehmet Scholl","Thorsten Fink","Michael Tarnat","Hasan Salihamidžic","Carsten Jancker","Alexander Zickler"
"2000-08-19","Stuttgart","Leverkusen","Timo Hildebrand","Thomas Schneider","Jochen Endress","Pablo Thiam","Krassimir Balakov","Heiko Gerber","Bradley Carnell","Zvonimir Soldo","Krisztián Lisztes","Roberto Pinto","Sean Dundee","Pascal Zuberbühler","Robert Kovac","Jens Nowotny","Boris Živkovic","Jörg Reeb","Michael Ballack","Vratislav Greško","Carsten Ramelow","Ulf Kirsten","Paulo Rink","Oliver Neuville"
"2000-08-20","FCKoln","EinFrankfurt","Markus Pröll","Alexander Voigt","Moses Sichone","Jens Keller","Thomas Cichon","Ralf Hauptmann","Christian Springer","Dirk Lottner","Matthias Scherz","Archil Arveladze","Christian Timm","Dirk Heinen","Torsten Kracht","Jens Rasiejewski","Petar Hubchev","Alexander Kutschera","Marco Gebhardt","Markus Lösch","Thomas Sobotzik","Horst Heldt","Rolf-Christel Guié-Mien","Saša Ciric"
"2000-08-19","Munich 1860","WerderBremen","Michael Hofmann","Stephan Paßlack","Ned Zelic","Marco Kurz","Thomas Häßler","Harald Cerny","Erik Mykland","Daniel Borimirov","Daniel Bierofka","Martin Max","Paul Agostino","Frank Rost","Frank Baumann","Frank Verlaat","Viktor Skripnik","Razundara Tjikuzu","Raphaël Wicky","Dieter Eilts","Marco Bode","Andreas Herzog","Torsten Frings","Paul Stalteri"
"2000-08-19","Wolfsburg","Kaiserslautern","Claus Reitmaier","Brian ONeil","Thomas Hengen","Marcel Maltritz","Martin Wagner","Dorinel Munteanu","Dietmar Kühbauer","Charles Akonnor","Zoltán Sebescen","Andrzej Juskowiak","Jürgen Rische","Georg Koch","Murat Yakin","Michael Schjønberg","Hany Ramzy","Harry Koch","Marian Hristov","Youri Djorkaeff","Jeff Strasser","Mario Basler","Jörgen Pettersson","Vratislav Lokvenc"
"2000-08-19","Hertha","Hamburg","Gábor Király","Dick van Burik","Marko Rehmer","Dariusz Wosz","Andreas Schmidt","Michael Hartmann","Stefan Beinlich","René Tretschok","Sebastian Deisler","Michael Preetz","Piotr Reiss","Hans Jörg Butt","Andrej Panadic","Ingo Hertzsch","Nico Jan Hoogma","Martin Groth","Niko Kovac","Ronald Maul","Marcel Ketelaer","Sergej Barbarez","Tony Yeboah","Roy Präger"
"2000-08-20","HansaRostock","Schalke04","Martin Pieckenhagen","Andreas Jakobsson","Kai Oswald","Marco Zallmann","Mohamed Emara","René Rydlewicz","Marcus Lantz","Christian Brand","Peter Wibrån","Magnus Arvidsson","Victor Agali","Oliver Reck","Nico Van Kerckhoven","Tomasz Hajto","Tomasz Waldoch","Radoslav Látal","Andreas Möller","Jörg Böhme","Niels Oude Kamphuis","Jirí Nemec","Ebbe Sand","Émile Mpenza"
"2000-09-05","Freiburg","FCKoln","Richard Golz","Daniel Schumann","Stefan Müller","Boubacar Diarra","Levan Tskitishvili","Andreas Zeyer","Zoubaïer Baya","Soumaila Coulibaly","Tobias Willi","Aleksandr Iashvili","Abder Ramdane","Markus Pröll","Carsten Cullmann","Alexander Voigt","Spasoje Bulajic","Jens Keller","Thomas Cichon","Markus Kreuz","Christian Springer","Matthias Scherz","Archil Arveladze","Christian Timm"
"2000-09-05","Leverkusen","Unterhaching","Pascal Zuberbühler","Robert Kovac","Jens Nowotny","Boris Živkovic","Zé Roberto","Michael Ballack","Jurica Vranješ","Carsten Ramelow","Ulf Kirsten","Paulo Rink","Oliver Neuville","Gerhard Tremmel","Alexander Strehmel","Jan Seifert","Dennis Grassow","Oliver Straube","Matthias Zimmermann","Markus Oberleitner","Danny Schwarz","Marco Haber","Dietmar Hirsch","Altin Rraklli"
"2000-09-06","Hamburg","WerderBremen","Hans Jörg Butt","Ingo Hertzsch","Nico Jan Hoogma","Milan Fukal","Martin Groth","Niko Kovac","Bernd Hollerbach","Marcel Ketelaer","Sergej Barbarez","Tony Yeboah","Roy Präger","Frank Rost","Frank Baumann","Frank Verlaat","Viktor Skripnik","Raphaël Wicky","Dieter Eilts","Marco Bode","Andreas Herzog","Torsten Frings","Paul Stalteri","Rade Bogdanovic"
"2000-09-06","EinFrankfurt","HansaRostock","Dirk Heinen","Torsten Kracht","Petar Hubchev","Alexander Kutschera","Horst Heldt","Gerd Wimmer","Alexander Schur","Alexander Rosen","Rolf-Christel Guié-Mien","Thomas Reichenberger","Saša Ciric","Martin Pieckenhagen","Sven Benken","Andreas Jakobsson","Rayk Schröder","Timo Lange","Mohamed Emara","Radwan Yasser","Marcus Lantz","Peter Wibrån","Kreso Kovacec","Victor Agali"
"2000-09-06","Hertha","Bochum","Gábor Király","Dick van Burik","Marko Rehmer","Dariusz Wosz","Andreas Schmidt","Michael Hartmann","Stefan Beinlich","René Tretschok","Sebastian Deisler","Alex Alves","Michael Preetz","Rein van Duijnhoven","Martin Meichelbeck","Mirko Dickhaut","Michael Bemben","Peter Peschel","Sebastian Schindzielorz","Yildiray Bastürk","Thomas Stickroth","Zoran Mamic","Achim Weber","Delron Buckley"
"2000-09-05","Kaiserslautern","Stuttgart","Georg Koch","Murat Yakin","Slobodan Komljenovic","Tomasz Klos","Harry Koch","Dimitrios Grammozis","Youri Djorkaeff","Jeff Strasser","Mario Basler","Vratislav Lokvenc","Miroslav Klose","Timo Hildebrand","Thomas Schneider","Jochen Endress","Pablo Thiam","Krassimir Balakov","Heiko Gerber","Bradley Carnell","Zvonimir Soldo","Krisztián Lisztes","Roberto Pinto","Sean Dundee"
"2000-09-05","Schalke04","Cottbus","Oliver Reck","Nico Van Kerckhoven","Tomasz Hajto","Tomasz Waldoch","Radoslav Látal","Andreas Möller","Jörg Böhme","Niels Oude Kamphuis","Jirí Nemec","Ebbe Sand","Émile Mpenza","Tomislav Piplica","Vilmos Sebok","Rudi Vata","János Mátyus","Laurentiu Reghecampf","Bruno Akrapovic","Moussa Latoundji","Vasile Miriuta","Ronny Thielemann","Ferenc Horváth","Sebastian Helbig"
"2000-09-06","BayernMunich","Wolfsburg","Oliver Kahn","Samuel Kuffour","Patrik Andersson","Ciriaco Sforza","Michael Wiesinger","Mehmet Scholl","Thorsten Fink","Michael Tarnat","Hasan Salihamidžic","Carsten Jancker","Roque Santa Cruz","Claus Reitmaier","Brian ONeil","Marino Biliskov","Thomas Hengen","Patrick Weiser","Krzysztof Nowak","Dietmar Kühbauer","Charles Akonnor","Zoltán Sebescen","Andrzej Juskowiak","Tomislav Maric"
"2000-09-06","Dortmund","Munich 1860","Jens Lehmann","Evanilson","Jürgen Kohler","Jörg Heinrich","Dédé","Christoph Metzelder","Miroslav Stevic","Sunday Oliseh","Otto Addo","Heiko Herrlich","Victor Ikpeba","Michael Hofmann","Martin Stranzl","Ned Zelic","Marco Kurz","Thomas Häßler","Filip Tapalovic","Harald Cerny","Erik Mykland","Daniel Bierofka","Martin Max","Paul Agostino"
"2000-09-08","Unterhaching","Kaiserslautern","Gerhard Tremmel","Alexander Strehmel","Jan Seifert","Dennis Grassow","Oliver Straube","Markus Oberleitner","Danny Schwarz","Ludwig Kögl","Dietmar Hirsch","Alfonso García","André Breitenreiter","Georg Koch","Murat Yakin","Hany Ramzy","Slobodan Komljenovic","Tomasz Klos","Harry Koch","Dimitrios Grammozis","Youri Djorkaeff","Jeff Strasser","Mario Basler","Vratislav Lokvenc"
"2000-09-09","FCKoln","Leverkusen","Markus Pröll","Carsten Cullmann","Alexander Voigt","Moses Sichone","Jens Keller","Thomas Cichon","Ivan Vukomanovic","Markus Kreuz","Matthias Scherz","Archil Arveladze","Christian Timm","Pascal Zuberbühler","Robert Kovac","Jens Nowotny","Boris Živkovic","Zé Roberto","Michael Ballack","Jurica Vranješ","Carsten Ramelow","Ulf Kirsten","Paulo Rink","Oliver Neuville"
"2000-09-09","Wolfsburg","Hertha","Claus Reitmaier","Brian ONeil","Waldemar Kryger","Thomas Hengen","Patrick Weiser","Krzysztof Nowak","Dietmar Kühbauer","Charles Akonnor","Zoltán Sebescen","Andrzej Juskowiak","Jürgen Rische","Gábor Király","Dick van Burik","Eyjólfur Sverrisson","Dariusz Wosz","Andreas Schmidt","Michael Hartmann","Stefan Beinlich","René Tretschok","Sebastian Deisler","Alex Alves","Michael Preetz"
"2000-09-09","WerderBremen","Dortmund","Frank Rost","Frank Baumann","Frank Verlaat","Viktor Skripnik","Fabian Ernst","Raphaël Wicky","Marco Bode","Andreas Herzog","Torsten Frings","Rade Bogdanovic","Claudio Pizarro","Jens Lehmann","Christian Wörns","Evanilson","Jürgen Kohler","Jörg Heinrich","Dédé","Christoph Metzelder","Miroslav Stevic","Sunday Oliseh","Otto Addo","Heiko Herrlich"
"2000-09-10","Cottbus","EinFrankfurt","Tomislav Piplica","Vilmos Sebok","Tzanko Tzvetanov","Rudi Vata","Laurentiu Reghecampf","Bruno Akrapovic","Moussa Latoundji","Vasile Miriuta","Ronny Thielemann","Ferenc Horváth","Sebastian Helbig","Dirk Heinen","Torsten Kracht","Petar Hubchev","Alexander Kutschera","Markus Lösch","Horst Heldt","Gerd Wimmer","Alexander Schur","Alexander Rosen","Thomas Reichenberger","Saša Ciric"
"2000-09-09","Munich 1860","Schalke04","Michael Hofmann","Martin Stranzl","Ned Zelic","Marco Kurz","Thomas Häßler","Harald Cerny","Erik Mykland","Thomas Riedl","Daniel Bierofka","Martin Max","Paul Agostino","Oliver Reck","Nico Van Kerckhoven","Tomasz Hajto","Tomasz Waldoch","Radoslav Látal","Andreas Möller","Jörg Böhme","Niels Oude Kamphuis","Jirí Nemec","Ebbe Sand","Émile Mpenza"
"2000-09-09","Stuttgart","BayernMunich","Timo Hildebrand","Bordon","Pablo Thiam","Silvio Meißner","Krassimir Balakov","Heiko Gerber","Bradley Carnell","Zvonimir Soldo","Krisztián Lisztes","Roberto Pinto","Ioan Ganea","Oliver Kahn","Willy Sagnol","Bixente Lizarazu","Patrik Andersson","Ciriaco Sforza","Thomas Linke","Mehmet Scholl","Thorsten Fink","Hasan Salihamidžic","Carsten Jancker","Roque Santa Cruz"
"2000-09-09","Bochum","Hamburg","Rein van Duijnhoven","Samir Toplak","Martin Meichelbeck","Mirko Dickhaut","Peter Peschel","Sebastian Schindzielorz","Yildiray Bastürk","Thomas Stickroth","Zoran Mamic","Paul Freier","Achim Weber","Hans Jörg Butt","Andrej Panadic","Ingo Hertzsch","Nico Jan Hoogma","Martin Groth","Niko Kovac","Mehdi Mahdavikia","Bernd Hollerbach","Rodolfo Cardoso","Marcel Ketelaer","Sergej Barbarez"
"2000-09-10","HansaRostock","Freiburg","Martin Pieckenhagen","Andreas Jakobsson","Kai Oswald","Rayk Schröder","Timo Lange","Mohamed Emara","Matthias Breitkreutz","Radwan Yasser","Peter Wibrån","Kreso Kovacec","Magnus Arvidsson","Richard Golz","Daniel Schumann","Stefan Müller","Boubacar Diarra","Levan Tskitishvili","Zoubaïer Baya","Levan Kobiashvili","Tobias Willi","Aleksandr Iashvili","Abder Ramdane","Adel Sellimi"
"2000-09-15","Kaiserslautern","FCKoln","Georg Koch","Hany Ramzy","Slobodan Komljenovic","Tomasz Klos","Harry Koch","Marian Hristov","Youri Djorkaeff","Jeff Strasser","Jörgen Pettersson","Vratislav Lokvenc","Miroslav Klose","Markus Pröll","Carsten Cullmann","Alexander Voigt","Moses Sichone","Thomas Cichon","Ralf Hauptmann","Markus Kreuz","Christian Springer","Matthias Scherz","Archil Arveladze","Christian Timm"
"2000-09-16","Freiburg","Cottbus","Richard Golz","Stefan Müller","Boubacar Diarra","Levan Tskitishvili","Sebastian Kehl","Zoubaïer Baya","Levan Kobiashvili","Tobias Willi","Aleksandr Iashvili","Abder Ramdane","Adel Sellimi","Tomislav Piplica","Vilmos Sebok","Tzanko Tzvetanov","Rudi Vata","Laurentiu Reghecampf","Bruno Akrapovic","Toni Micevski","Moussa Latoundji","Vasile Miriuta","Ronny Thielemann","Sebastian Helbig"
"2000-09-16","Bochum","Wolfsburg","Rein van Duijnhoven","Martin Meichelbeck","Hilko Ristau","Mirko Dickhaut","Michael Bemben","Sebastian Schindzielorz","Yildiray Bastürk","Sergey Mandreko","Zoran Mamic","Paul Freier","Marijo Maric","Claus Reitmaier","Brian ONeil","Waldemar Kryger","Patrick Weiser","Krzysztof Nowak","Dorinel Munteanu","Dietmar Kühbauer","Charles Akonnor","Zoltán Sebescen","Andrzej Juskowiak","Tomislav Maric"
"2000-09-16","BayernMunich","Unterhaching","Stefan Wessels","Willy Sagnol","Samuel Kuffour","Ciriaco Sforza","Thomas Linke","Mehmet Scholl","Thomas Strunz","Michael Tarnat","Owen Hargreaves","Giovane Élber","Roque Santa Cruz","Gerhard Tremmel","Alexander Strehmel","Jan Seifert","Dennis Grassow","Oliver Straube","Danny Schwarz","Ludwig Kögl","Marco Haber","Francisco Copado","Dietmar Hirsch","André Breitenreiter"
"2000-09-17","Hertha","Stuttgart","Gábor Király","Dick van Burik","Tony Sanneh","Andreas Schmidt","Michael Hartmann","Stefan Beinlich","René Tretschok","Sebastian Deisler","Alex Alves","Michael Preetz","Bryan Roy","Timo Hildebrand","Thomas Schneider","Pablo Thiam","Silvio Meißner","Krassimir Balakov","Heiko Gerber","Bradley Carnell","Zvonimir Soldo","Krisztián Lisztes","Roberto Pinto","Ioan Ganea"
"2000-09-16","Leverkusen","HansaRostock","Pascal Zuberbühler","Robert Kovac","Jens Nowotny","Boris Živkovic","Michael Ballack","Pascal Ojigwe","Vratislav Greško","Carsten Ramelow","Ulf Kirsten","Paulo Rink","Oliver Neuville","Martin Pieckenhagen","Andreas Jakobsson","Kai Oswald","Rayk Schröder","Mohamed Emara","René Rydlewicz","Matthias Breitkreutz","Radwan Yasser","Peter Wibrån","Magnus Arvidsson","Steffen Baumgart"
"2000-09-16","EinFrankfurt","Munich 1860","Dirk Heinen","Torsten Kracht","Petar Hubchev","Alexander Kutschera","Markus Lösch","Horst Heldt","Gerd Wimmer","Alexander Schur","Michael Mutzel","Thomas Reichenberger","Saša Ciric","Simon Jentzsch","Martin Stranzl","Ned Zelic","Marco Kurz","Thomas Häßler","Harald Cerny","Erik Mykland","Daniel Borimirov","Daniel Bierofka","Martin Max","Paul Agostino"
"2000-09-16","Hamburg","Dortmund","Hans Jörg Butt","Andrej Panadic","Ingo Hertzsch","Nico Jan Hoogma","Milan Fukal","Niko Kovac","Stig Tøfting","Mehdi Mahdavikia","Rodolfo Cardoso","Marcel Ketelaer","Sergej Barbarez","Jens Lehmann","Christian Wörns","Evanilson","Jörg Heinrich","Dédé","Christoph Metzelder","Miroslav Stevic","Sunday Oliseh","Lars Ricken","Otto Addo","Heiko Herrlich"
"2000-09-17","Schalke04","WerderBremen","Oliver Reck","Nico Van Kerckhoven","Tomasz Hajto","Tomasz Waldoch","Radoslav Látal","Andreas Möller","Jörg Böhme","Niels Oude Kamphuis","Jirí Nemec","Gerald Asamoah","Émile Mpenza","Frank Rost","Frank Baumann","Mladen Krstajic","Razundara Tjikuzu","Fabian Ernst","Dieter Eilts","Marco Bode","Mike Barten","Paul Stalteri","Claudio Pizarro","Ailton"
"2000-09-22","Munich 1860","Freiburg","Simon Jentzsch","Martin Stranzl","Ned Zelic","Marco Kurz","Thomas Häßler","Filip Tapalovic","Harald Cerny","Erik Mykland","Daniel Bierofka","Martin Max","Paul Agostino","Richard Golz","Stefan Müller","Boubacar Diarra","Levan Tskitishvili","Andreas Zeyer","Sebastian Kehl","Zoubaïer Baya","Levan Kobiashvili","Soumaila Coulibaly","Tobias Willi","Aleksandr Iashvili"
"2000-09-23","Stuttgart","Bochum","Timo Hildebrand","Bordon","Pablo Thiam","Silvio Meißner","Krassimir Balakov","Heiko Gerber","Bradley Carnell","Zvonimir Soldo","Krisztián Lisztes","Ioan Ganea","Sean Dundee","Rein van Duijnhoven","Martin Meichelbeck","Damir Milinovic","Hilko Ristau","Mirko Dickhaut","Peter Peschel","Sebastian Schindzielorz","Yildiray Bastürk","Sergey Mandreko","Zoran Mamic","Marijo Maric"
"2000-09-23","Dortmund","Schalke04","Jens Lehmann","Christian Wörns","Evanilson","Jürgen Kohler","Jörg Heinrich","Dédé","Miroslav Stevic","Sunday Oliseh","Otto Addo","Heiko Herrlich","Giuseppe Reina","Oliver Reck","Nico Van Kerckhoven","Tomasz Hajto","Olaf Thon","Tomasz Waldoch","Radoslav Látal","Andreas Möller","Jörg Böhme","Niels Oude Kamphuis","Ebbe Sand","Émile Mpenza"
"2000-09-23","Cottbus","Leverkusen","Tomislav Piplica","Vilmos Sebok","Rudi Vata","János Mátyus","Faruk Hujdurovic","Jörg Scherbe","Laurentiu Reghecampf","Andrzej Kobylanski","Vasile Miriuta","Antun Labak","Sebastian Helbig","Pascal Zuberbühler","Robert Kovac","Jens Nowotny","Boris Živkovic","Torben Hoffmann","Michael Ballack","Jurica Vranješ","Vratislav Greško","Carsten Ramelow","Paulo Rink","Oliver Neuville"
"2000-09-24","Unterhaching","Hertha","Gerhard Tremmel","Alexander Strehmel","Jan Seifert","Dennis Grassow","Oliver Straube","Matthias Zimmermann","Markus Oberleitner","Danny Schwarz","Francisco Copado","David Zdrilic","André Breitenreiter","Gábor Király","Dick van Burik","Marko Rehmer","Dariusz Wosz","Andreas Schmidt","Michael Hartmann","Stefan Beinlich","René Tretschok","Sebastian Deisler","Ali Daei","Michael Preetz"
"2000-09-23","FCKoln","BayernMunich","Markus Pröll","Carsten Cullmann","Alexander Voigt","Moses Sichone","Thomas Cichon","Ralf Hauptmann","Markus Kreuz","Dirk Lottner","Matthias Scherz","Archil Arveladze","Christian Timm","Oliver Kahn","Willy Sagnol","Samuel Kuffour","Patrik Andersson","Thomas Strunz","Thorsten Fink","Michael Tarnat","Hasan Salihamidžic","Owen Hargreaves","Giovane Élber","Roque Santa Cruz"
"2000-09-23","Wolfsburg","Hamburg","Claus Reitmaier","Brian ONeil","Frank Greiner","Patrick Weiser","Krzysztof Nowak","Dorinel Munteanu","Dietmar Kühbauer","Charles Akonnor","Zoltán Sebescen","Jürgen Rische","Jonathan Akpoborie","Hans Jörg Butt","Ingo Hertzsch","Nico Jan Hoogma","Milan Fukal","Niko Kovac","Stig Tøfting","Mehdi Mahdavikia","Bernd Hollerbach","Rodolfo Cardoso","Sergej Barbarez","Roy Präger"
"2000-09-23","WerderBremen","EinFrankfurt","Frank Rost","Frank Baumann","Mladen Krstajic","Razundara Tjikuzu","Fabian Ernst","Dieter Eilts","Marco Bode","Mike Barten","Paul Stalteri","Claudio Pizarro","Ailton","Dirk Heinen","Torsten Kracht","Petar Hubchev","Alexander Kutschera","Markus Lösch","Horst Heldt","Gerd Wimmer","Alexander Schur","Michael Mutzel","Thomas Reichenberger","Saša Ciric"
"2000-09-24","HansaRostock","Kaiserslautern","Martin Pieckenhagen","Andreas Jakobsson","Kai Oswald","Rayk Schröder","Mohamed Emara","René Rydlewicz","Radwan Yasser","Christian Brand","Peter Wibrån","Magnus Arvidsson","Steffen Baumgart","Georg Koch","Hany Ramzy","Slobodan Komljenovic","Tomasz Klos","Harry Koch","Marian Hristov","Youri Djorkaeff","Jeff Strasser","Jörgen Pettersson","Vratislav Lokvenc","Miroslav Klose"
"2000-09-29","EinFrankfurt","Dortmund","Dirk Heinen","Torsten Kracht","Alexander Kutschera","Markus Lösch","Horst Heldt","Gerd Wimmer","Alexander Schur","Michael Mutzel","Rolf-Christel Guié-Mien","Thomas Reichenberger","Chen Yang","Jens Lehmann","Evanilson","Jürgen Kohler","Alfred Nijhuis","Dédé","Christoph Metzelder","Miroslav Stevic","Sunday Oliseh","Otto Addo","Fredi Bobic","Victor Ikpeba"
"2000-09-30","Kaiserslautern","Cottbus","Georg Koch","Hany Ramzy","Slobodan Komljenovic","Tomasz Klos","Harry Koch","Marian Hristov","Jeff Strasser","Jörgen Pettersson","Vratislav Lokvenc","Igli Tare","Miroslav Klose","Tomislav Piplica","Vilmos Sebok","János Mátyus","Faruk Hujdurovic","Jörg Scherbe","Laurentiu Reghecampf","Bruno Akrapovic","Toni Micevski","Andrzej Kobylanski","Antun Labak","Sebastian Helbig"
"2000-09-30","Hertha","FCKoln","Gábor Király","Dick van Burik","Marko Rehmer","Dariusz Wosz","Andreas Schmidt","Michael Hartmann","Stefan Beinlich","René Tretschok","Sebastian Deisler","Alex Alves","Michael Preetz","Markus Pröll","Carsten Cullmann","Alexander Voigt","Moses Sichone","Jens Keller","Thomas Cichon","Markus Kreuz","Dirk Lottner","Archil Arveladze","Christian Timm","Miroslav Baránek"
"2000-09-30","Leverkusen","Munich 1860","Pascal Zuberbühler","Robert Kovac","Jens Nowotny","Boris Živkovic","Jörg Reeb","Zé Roberto","Michael Ballack","Carsten Ramelow","Ulf Kirsten","Thomas Brdaric","Oliver Neuville","Simon Jentzsch","Martin Stranzl","Ned Zelic","Marco Kurz","Roman Týce","Thomas Häßler","Harald Cerny","Erik Mykland","Daniel Bierofka","Martin Max","Paul Agostino"
"2000-10-01","Wolfsburg","Stuttgart","Claus Reitmaier","Waldemar Kryger","Marino Biliskov","Marcel Maltritz","Patrick Weiser","Krzysztof Nowak","Dorinel Munteanu","Dietmar Kühbauer","Zoltán Sebescen","Jürgen Rische","Jonathan Akpoborie","Timo Hildebrand","Stefan Blank","Bordon","Thomas Schneider","Pablo Thiam","Silvio Meißner","Jens Todt","Bradley Carnell","Jochen Seitz","Roberto Pinto","Ioan Ganea"
"2000-09-30","BayernMunich","HansaRostock","Oliver Kahn","Bixente Lizarazu","Samuel Kuffour","Ciriaco Sforza","Thomas Linke","Mehmet Scholl","Thomas Strunz","Thorsten Fink","Hasan Salihamidžic","Giovane Élber","Carsten Jancker","Martin Pieckenhagen","Andreas Jakobsson","Kai Oswald","Rayk Schröder","Mohamed Emara","René Rydlewicz","Marcus Lantz","Christian Brand","Peter Wibrån","Magnus Arvidsson","Steffen Baumgart"
"2000-09-30","Bochum","Unterhaching","Rein van Duijnhoven","Martin Meichelbeck","Damir Milinovic","Mirko Dickhaut","Peter Peschel","Sebastian Schindzielorz","Yildiray Bastürk","Sergey Mandreko","Zoran Mamic","Delron Buckley","Marijo Maric","Gerhard Tremmel","Alexander Strehmel","Jan Seifert","Dennis Grassow","Oliver Straube","Matthias Zimmermann","Markus Oberleitner","Danny Schwarz","Francisco Copado","Altin Rraklli","André Breitenreiter"
