"match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"2016-08-27","FCKoln","Darmstadt","Timo Horn","Frederik Sørensen","Dominic Maroh","Jonas Hector","Mergim Mavraj","Marco Höger","Marcel Risse","Leonardo Bittencourt","Matthias Lehmann","Artjoms Rudnevs","Anthony Modeste","Michael Esser","Alexander Miloševic","Artem Fedetskiy","Immanuel Höhn","Fabian Holland","Mario Vrancic","Jérôme Gondorf","Marcel Heller","Änis Ben-Hatira","László Kleinheisler","Sven Schipplock"
"2016-08-27","M'gladbach","Leverkusen","Yann Sommer","Andreas Christensen","Oscar Wendt","Tony Jantschke","Nico Elvedi","Tobias Strobl","Christoph Kramer","Ibrahima Traoré","André Hahn","Raffael","Lars Stindl","Bernd Leno","Jonathan Tah","Tin Jedvaj","Wendell","Ömer Toprak","Hakan Çalhanoglu","Julian Baumgartlinger","Charles Aránguiz","Karim Bellarabi","Kevin Kampl","Kevin Volland"
"2016-08-28","Hoffenheim","RBLeipzig","Oliver Baumann","Pavel Kaderábek","Fabian Schär","Niklas Süle","Sebastian Rudy","Lukas Rupp","Kevin Vogt","Philipp Ochs","Sandro Wagner","Mark Uth","Andrej Kramaric","Péter Gulácsi","Willi Orban","Benno Schmitz","Marcel Halstenberg","Marvin Compper","Marcel Sabitzer","Stefan Ilsanker","Dominik Kaiser","Diego Demme","Yussuf Poulsen","Timo Werner"
"2016-08-27","EinFrankfurt","Schalke04","Lukáš Hrádecký","Guillermo Varela","Bastian Oczipka","Michael Hector","David Abraham","Szabolcs Huszti","Mijat Gacinovic","Makoto Hasebe","Mascarell","Alexander Meier","Branimir Hrgota","Ralf Fährmann","Junior Caiçara","Benedikt Höwedes","Sead Kolašinac","Naldo","Johannes Geis","Max Meyer","Dennis Aogo","Franco Di Santo","Eric Maxim Choupo-Moting","Klaas Jan Huntelaar"
"2016-08-27","Hamburg","Ingolstadt","René Adler","Cléber Reis","Johan Djourou","Matthias Ostrzolek","Gotoku Sakai","Gideon Jung","Aaron Hunt","Filip Kostic","Nicolai Müller","Bobby Wood","Michael Gregoritsch","Ørjan Nyland","Romain Brégerie","Tobias Levels","Markus Suttner","Marvin Matip","Alfredo Morales","Mathew Leckie","Roger","Pascal Groß","Moritz Hartmann","Dario Lezcano"
"2016-08-27","Dortmund","Mainz","Roman Bürki","Bartra","Sokratis Papastathopoulos","Marcel Schmelzer","Sebastian Rode","Shinji Kagawa","Gonzalo Castro","Felix Passlack","Ousmane Dembélé","Pierre-Emerick Aubameyang","André Schürrle","Jonas Lössl","Giulio Donati","Leon Balogun","Stefan Bell","Daniel Brosinski","Yunus Malli","Fabian Frei","Jean-Philippe Gbamin","Christian Clemens","Suat Serdar","Karim Onisiwo"
"2016-08-28","Hertha","Freiburg","Rune Jarstein","Peter Pekarík","Sebastian Langkamp","Marvin Plattenhardt","John Anthony Brooks","Per Skjelbred","Vladimír Darida","Mitchell Weiser","Genki Haraguchi","Fabian Lustenberger","Vedad Ibiševic","Alexander Schwolow","Aleksandar Ignjovski","Çaglar Söyüncü","Manuel Gulde","Christian Günter","Amir Abrashi","Janik Haberer","Nicolas Höfler","Vincenzo Grifo","Florian Niederlechner","Maximilian Philipp"
"2016-09-09","Schalke04","BayernMunich","Ralf Fährmann","Benedikt Höwedes","Matija Nastasic","Abdul Rahman Baba","Naldo","Leon Goretzka","Nabil Bentaleb","Yevhen Konoplyanka","Benjamin Stambouli","Eric Maxim Choupo-Moting","Klaas Jan Huntelaar","Manuel Neuer","Mats Hummels","Javi Martínez","Philipp Lahm","David Alaba","Thiago","Franck Ribéry","Xabi Alonso","Renato Sanches","Robert Lewandowski","Thomas Müller"
"2016-09-10","Wolfsburg","FCKoln","Koen Casteels","Jeffrey Bruma","Robin Knoche","Ricardo Rodríguez","Daniel Caligiuri","Daniel Didavi","Yannick Gerhardt","Jakub Blaszczykowski","Luiz Gustavo","Julian Draxler","Mario Gomez","Sven Müller","Dominique Heintz","Frederik Sørensen","Jonas Hector","Mergim Mavraj","Marco Höger","Marcel Risse","Leonardo Bittencourt","Matthias Lehmann","Yuya Osako","Anthony Modeste"
"2016-09-10","Darmstadt","EinFrankfurt","Michael Esser","Alexander Miloševic","Immanuel Höhn","Florian Jungwirth","Fabian Holland","Jérôme Gondorf","Peter Niemeyer","Marcel Heller","Änis Ben-Hatira","Roman Bezjak","Sven Schipplock","Lukáš Hrádecký","Guillermo Varela","Bastian Oczipka","David Abraham","Timothy Chandler","Szabolcs Huszti","Mijat Gacinovic","Makoto Hasebe","Mascarell","Alexander Meier","Branimir Hrgota"
