DIVISION;DATE;TIME;FIXTURE;HOME TEAM;AWAY TEAM
BUNDESLIGA;14-4-2018;15:30;VfL Wolfsburg V FC Augsburg;VfL Wolfsburg;FC Augsburg
BUNDESLIGA;14-4-2018;15:30;Werder Bremen V RB Leipzig;Werder Bremen;RB Leipzig
BUNDESLIGA;21-4-2018;15:30;Bor. Monchengladbach V VfL Wolfsburg;Bor. Monchengladbach;VfL Wolfsburg
BUNDESLIGA;21-4-2018;15:30;Borussia Dortmund V Bayer Leverkusen;Borussia Dortmund;Bayer Leverkusen
BUNDESLIGA;21-4-2018;15:30;Eintracht Frankfurt V Hertha BSC Berlin;Eintracht Frankfurt;Hertha BSC Berlin
BUNDESLIGA;21-4-2018;15:30;FC Augsburg V FSV Mainz 05;FC Augsburg;FSV Mainz 05
BUNDESLIGA;21-4-2018;15:30;FC Koln V FC Schalke 04;FC Koln;FC Schalke 04
BUNDESLIGA;21-4-2018;15:30;Hamburger SV V SC Freiburg;Hamburger SV;SC Freiburg
BUNDESLIGA;21-4-2018;15:30;Hannover 96 V Bayern Munich;Hannover 96;Bayern Munich
BUNDESLIGA;21-4-2018;15:30;RB Leipzig V 1899 Hoffenheim;RB Leipzig;1899 Hoffenheim
BUNDESLIGA;21-4-2018;15:30;VfB Stuttgart V Werder Bremen;VfB Stuttgart;Werder Bremen
BUNDESLIGA;28-4-2018;15:30;1899 Hoffenheim V Hannover 96;1899 Hoffenheim;Hannover 96
BUNDESLIGA;28-4-2018;15:30;Bayer Leverkusen V VfB Stuttgart;Bayer Leverkusen;VfB Stuttgart
BUNDESLIGA;28-4-2018;15:30;Bayern Munich V Eintracht Frankfurt;Bayern Munich;Eintracht Frankfurt
BUNDESLIGA;28-4-2018;15:30;FC Schalke 04 V Bor. Monchengladbach;FC Schalke 04;Bor. Monchengladbach
BUNDESLIGA;28-4-2018;15:30;FSV Mainz 05 V RB Leipzig;FSV Mainz 05;RB Leipzig
BUNDESLIGA;28-4-2018;15:30;Hertha BSC Berlin V FC Augsburg;Hertha BSC Berlin;FC Augsburg
BUNDESLIGA;28-4-2018;15:30;SC Freiburg V FC Koln;SC Freiburg;FC Koln
BUNDESLIGA;28-4-2018;15:30;VfL Wolfsburg V Hamburger SV;VfL Wolfsburg;Hamburger SV
BUNDESLIGA;28-4-2018;15:30;Werder Bremen V Borussia Dortmund;Werder Bremen;Borussia Dortmund
BUNDESLIGA;5-5-2018;15:30;Bor. Monchengladbach V SC Freiburg;Bor. Monchengladbach;SC Freiburg
BUNDESLIGA;5-5-2018;15:30;Borussia Dortmund V FSV Mainz 05;Borussia Dortmund;FSV Mainz 05
BUNDESLIGA;5-5-2018;15:30;Eintracht Frankfurt V Hamburger SV;Eintracht Frankfurt;Hamburger SV
BUNDESLIGA;5-5-2018;15:30;FC Augsburg V FC Schalke 04;FC Augsburg;FC Schalke 04
BUNDESLIGA;5-5-2018;15:30;FC Koln V Bayern Munich;FC Koln;Bayern Munich
BUNDESLIGA;5-5-2018;15:30;Hannover 96 V Hertha BSC Berlin;Hannover 96;Hertha BSC Berlin
BUNDESLIGA;5-5-2018;15:30;RB Leipzig V VfL Wolfsburg;RB Leipzig;VfL Wolfsburg
BUNDESLIGA;5-5-2018;15:30;VfB Stuttgart V 1899 Hoffenheim;VfB Stuttgart;1899 Hoffenheim
BUNDESLIGA;5-5-2018;15:30;Werder Bremen V Bayer Leverkusen;Werder Bremen;Bayer Leverkusen
BUNDESLIGA;12-5-2018;15:30;1899 Hoffenheim V Borussia Dortmund;1899 Hoffenheim;Borussia Dortmund
BUNDESLIGA;12-5-2018;15:30;Bayer Leverkusen V Hannover 96;Bayer Leverkusen;Hannover 96
BUNDESLIGA;12-5-2018;15:30;Bayern Munich V VfB Stuttgart;Bayern Munich;VfB Stuttgart
BUNDESLIGA;12-5-2018;15:30;FC Schalke 04 V Eintracht Frankfurt;FC Schalke 04;Eintracht Frankfurt
BUNDESLIGA;12-5-2018;15:30;FSV Mainz 05 V Werder Bremen;FSV Mainz 05;Werder Bremen
BUNDESLIGA;12-5-2018;15:30;Hamburger SV V Bor. Monchengladbach;Hamburger SV;Bor. Monchengladbach
BUNDESLIGA;12-5-2018;15:30;Hertha BSC Berlin V RB Leipzig;Hertha BSC Berlin;RB Leipzig
BUNDESLIGA;12-5-2018;15:30;SC Freiburg V FC Augsburg;SC Freiburg;FC Augsburg
BUNDESLIGA;12-5-2018;15:30;VfL Wolfsburg V FC Koln;VfL Wolfsburg;FC Koln
