Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5
D1;14-9-2002;Cottbus;Werder Bremen;0;1;A;0;0;D;2.5;3.1;2.5;2.6;3.2;2.53;2.4;3;2.6;2.5;3.25;2.4;2.5;3.2;2.5;2.5;3.25;2.5;2.6;3.1;2.4;1.65;2.05;;
D1;14-9-2002;Dortmund;Schalke 04;1;1;D;0;0;D;1.909;3;3.75;1.9;3.33;3.9;1.85;3.1;3.6;1.833;3.4;3.5;1.91;3.2;3.6;1.909;3.2;3.75;1.9;3;3.75;1.85;1.8;;
D1;14-9-2002;Leverkusen;Hannover;1;3;A;1;1;D;1.333;4;8;1.3;4.5;10;1.35;4;7;1.25;4.5;10;1.29;4.33;10;1.3;4.333;9.5;1.3;4.2;8.5;1.65;2.1;;
D1;14-9-2002;M'gladbach;Stuttgart;1;1;D;0;0;D;2;3.2;3.2;2.15;3.25;3.3;2;3.1;3.2;2;3.2;3.2;2;3.25;3.25;2;3.2;3.4;2;3.2;3.2;1.8;1.85;;
D1;14-9-2002;Munich 1860;Wolfsburg;2;2;D;0;0;D;1.909;3.2;3.5;1.95;3.2;3.6;2.1;3;3.1;1.8;3.25;3.75;1.91;3.25;3.5;1.909;3.2;3.75;1.83;3.3;3.6;1.7;2.05;;
D1;14-9-2002;Nurnberg;Bayern Munich;1;2;A;1;1;D;4.5;3.25;1.667;5;3.5;1.67;4.6;3.4;1.6;5;3.25;1.615;5;3.4;1.62;5;3.5;1.615;4.5;3.3;1.66;1.65;2.05;;
D1;15-9-2002;Bochum;Hansa Rostock;0;1;A;0;1;A;1.833;3.2;3.75;1.9;3.2;3.86;1.9;3.1;3.5;1.833;3.4;3.5;1.83;3.25;3.75;1.833;3.25;4;1.83;3.2;3.75;1.75;1.96;;
D1;15-9-2002;Hamburg;Kaiserslautern;2;0;H;0;0;D;2.1;3.2;3;2.12;3.2;3.3;2;3.1;3.2;2;3.4;3;2;3.25;3.25;2;3.2;3.4;2;3.1;3.3;1.7;2.05;;
D1;21-9-2002;Bayern Munich;Cottbus;3;1;H;1;1;D;1.2;5;11;1.2;5.35;12.1;1.2;5;10;;;;1.17;6;10;1.167;6;13;1.2;5;11;1.5;2.25;;
D1;21-9-2002;Hannover;Bochum;2;2;D;1;1;D;2.25;3.2;2.75;2.25;3.15;2.95;2.1;3;3.1;;;;2.2;3.2;2.88;2.25;3.2;2.875;2.2;3.2;2.8;1.65;2.06;;
D1;21-9-2002;Hansa Rostock;Dortmund;0;1;A;0;1;A;2.625;3.2;2.3;2.83;3.17;2.35;2.7;3;2.3;;;;2.63;3.2;2.38;2.7;3.2;2.375;2.7;3;2.37;1.9;1.85;;
D1;21-9-2002;Hertha;Hamburg;2;0;H;0;0;D;1.727;3.2;4.333;1.8;3.35;4.7;1.7;3.2;4.2;;;;1.73;3.25;4.33;1.75;3.25;4.333;1.66;3.3;4.5;1.63;2.05;;
D1;21-9-2002;Kaiserslautern;Munich 1860;0;0;D;0;0;D;2;3;3.4;2.02;3.25;3.6;1.9;3.1;3.5;;;;2;3.25;3.25;2.05;3.25;3.25;2;3.1;3.3;1.72;2.05;;
D1;21-9-2002;Werder Bremen;Leverkusen;3;2;H;3;2;H;2.1;3.2;3;2.17;3.3;3.1;2.1;3;3.1;;;;2.2;3.2;2.88;2.2;3.25;2.875;2.3;3.1;2.75;1.65;2.2;;
D1;21-9-2002;Wolfsburg;Nurnberg;0;2;A;0;0;D;1.615;3.25;5;1.62;3.5;5.63;1.55;3.5;4.8;;;;1.62;3.4;5;1.571;3.5;5.5;1.57;3.5;5;1.7;2;;
D1;22-9-2002;Schalke 04;M'gladbach;2;1;H;2;1;H;1.615;3.25;5;1.6;3.45;6;1.6;3.4;4.6;;;;1.57;3.4;5.5;1.6;3.4;5.5;1.57;3.5;5;1.85;1.87;;
D1;22-9-2002;Stuttgart;Bielefeld;3;0;H;1;0;H;1.667;3.25;4.5;1.7;3.4;4.7;1.7;3.2;4.2;;;;1.67;3.4;4.5;1.667;3.3;4.75;1.66;3.3;4.5;1.82;1.9;;
D1;28-9-2002;Bielefeld;Schalke 04;2;1;H;1;1;D;2.75;3.2;2.25;2.9;3.25;2.2;2.9;3;2.2;2.8;3.2;2.2;2.88;3.2;2.2;2.88;3.2;2.25;2.9;3.1;2.2;1.75;1.85;;
D1;28-9-2002;Cottbus;Wolfsburg;0;1;A;0;0;D;2.3;3.2;2.625;2.3;3.25;2.75;2.3;3;2.7;2.38;3.2;2.6;2.25;3.25;2.75;2.3;3.25;2.75;2.3;3.1;2.75;1.8;1.8;;
D1;28-9-2002;Dortmund;M'gladbach;1;0;H;0;0;D;1.4;3.75;7;1.51;3.75;7;1.5;3.7;5;1.5;3.4;6;1.5;3.5;6;1.5;3.5;6.5;1.44;3.5;7;1.7;1.9;;
D1;28-9-2002;Hamburg;Stuttgart;3;2;H;2;2;D;2;3.2;3.2;2.03;3.3;3.5;2;3.1;3.2;2;3.2;3.2;2;3.2;3.3;2;3.2;3.4;2;3.1;3.3;1.7;1.9;;
D1;28-9-2002;Hansa Rostock;Hannover;1;2;A;1;2;A;1.727;3.2;4.333;1.81;3.3;4.4;1.85;3.1;3.6;1.73;3.4;4;1.67;3.4;4.33;1.75;3.3;4.33;1.72;3.25;4.2;1.7;1.9;;
D1;28-9-2002;Leverkusen;Bayern Munich;2;1;H;1;0;H;3;3.2;2.1;3.3;3.2;2.25;3.1;3.2;2;3;3;2.2;3;3.25;2.1;3.1;3.25;2.1;3.2;3;2.1;1.65;1.95;;
D1;28-9-2002;Munich 1860;Hertha;1;0;H;1;0;H;2.375;3.1;2.625;2.4;3.3;2.63;2.4;3;2.6;2.38;3.2;2.6;2.38;3.2;2.63;2.4;3.25;2.63;2.3;3.25;2.62;1.75;1.85;;
D1;29-9-2002;Bochum;Werder Bremen;1;4;A;1;2;A;2.375;3.1;2.625;2.5;3.25;2.82;2.2;3;2.9;2.38;3.2;2.6;2.25;3.25;2.75;2.3;3.25;2.75;2.3;3.1;2.75;1.75;2.01;;
